"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","SecondDateStr","SecondDate","DaysUntil2024","FullName"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","SR",NA,5.3,"8.5",0,13.8,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",20,4.8,"9.033",0.1,13.733,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",97,4.8,"9",0.3,13.5,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","FX",86,5.4,"7.133",0.1,12.433,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","HB",10,5.3,"8.5",0,13.8,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","HB",10,5.3,"8.1",0,13.4,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PB",9,5.8,"8.6",0,14.4,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","PB",10,5.8,"8.266",0,14.066,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PH",105,5,"5.5",0,10.5,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","SR",23,5.3,"8.366",0,13.666,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","SR",6,5.3,"8.333",0,13.633,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","VT",36,5.2,"9.2",0.3,14.1,"21 Aug 2022",2022-08-21,706,"Nestor Abad"
"Abad","Nestor","m","ESP","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","FX",21,5.5,"8.666",0,14.166,"8 Oct 2023",2023-10-08,293,"Nestor Abad"
"Abad","Nestor","m","ESP","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","HB",66,4.8,"8.233",0,13.033,"8 Oct 2023",2023-10-08,293,"Nestor Abad"
"Abad","Nestor","m","ESP","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PB",59,5.8,"8.3",0.3,13.8,"8 Oct 2023",2023-10-08,293,"Nestor Abad"
"Abad","Nestor","m","ESP","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PH",58,5,"8.1",0,13.1,"8 Oct 2023",2023-10-08,293,"Nestor Abad"
"Abad","Nestor","m","ESP","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","SR",33,5.3,"8.3",0,13.6,"8 Oct 2023",2023-10-08,293,"Nestor Abad"
"Abad","Nestor","m","ESP","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","VT",126,5.2,"8",0,13.2,"8 Oct 2023",2023-10-08,293,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",24,5.4,"7.233",0,12.633,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","FX",94,4.6,"8",0.1,12.5,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",9,5.3,"8.1",0,13.4,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","final","Antalya, Turkey","HB",4,5.3,"8.366",0,13.666,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","HB",5,5.3,"8.433",0,13.733,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",10,5.8,"8.033",0,13.833,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PB",23,5.8,"8.1",0,13.9,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",12,4.7,"8.3",0,13,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PH",28,5,"8.233",0,13.233,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","SR",17,5.3,"8.466",0,13.766,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",4,5.3,"8.366",0,13.666,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","VT",22,5.2,"7.9",0.1,13,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","VT",69,4.8,"9",0.1,13.7,"16 Apr 2023",2023-04-16,468,"Nestor Abad"
"Abad","Nestor","m","ESP","1-4 Jun 2023","2023 Tel Aviv World Challenge Cup","final","Tel Aviv, Israel","HB",1,5.3,"8.5",0,13.8,"4 Jun 2023",2023-06-04,419,"Nestor Abad"
"Abad","Nestor","m","ESP","1-4 Jun 2023","2023 Tel Aviv World Challenge Cup","qual","Tel Aviv, Israel","HB",1,5.3,"8.35",0,13.65,"4 Jun 2023",2023-06-04,419,"Nestor Abad"
"Abad","Nestor","m","ESP","1-4 Jun 2023","2023 Tel Aviv World Challenge Cup","qual","Tel Aviv, Israel","PH",11,5,"7",0,12,"4 Jun 2023",2023-06-04,419,"Nestor Abad"
"Abad","Nestor","m","ESP","1-4 Jun 2023","2023 Tel Aviv World Challenge Cup","qual","Tel Aviv, Israel","SR",2,5.7,"8.35",0,14.05,"4 Jun 2023",2023-06-04,419,"Nestor Abad"
"Abad","Nestor","m","ESP","1-4 Jun 2023","2023 Tel Aviv World Challenge Cup","final","Tel Aviv, Israel","SR",2,5.7,"8.3",0,14,"4 Jun 2023",2023-06-04,419,"Nestor Abad"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",17,5.1,"8.466",0,13.566,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",34,5.1,"8.566",0,13.666,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","FX",NA,5.1,"8.633",0,13.733,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",24,5.1,"5.1",0.3,9.9,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",27,5.6,"8",0,13.6,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","HB",NA,5.6,"8.033",0,13.633,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",20,5.3,"7.766",0,13.066,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",52,5.3,"8.4",0,13.7,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",7,5.5,"8.166",0,13.666,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",15,5.5,"8.466",0,13.966,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","PH",NA,5.5,"6.8",0,12.3,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",13,4.7,"8.466",0,13.166,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",60,4.7,"8.3",0,13,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","SR",NA,4.7,"8.333",0,13.033,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",18,4.8,"9.066",0,13.866,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",84,4.8,"8.9",0.1,13.6,"6 Nov 2022",2022-11-06,629,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","FX",19,5.4,"8.433",0,13.833,"21 Aug 2022",2022-08-21,706,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","HB",11,5.6,"8.2",0,13.8,"21 Aug 2022",2022-08-21,706,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","HB",6,5.6,"8.166",0,13.766,"21 Aug 2022",2022-08-21,706,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PB",91,4.7,"7.333",0,12.033,"21 Aug 2022",2022-08-21,706,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","PH",61,5,"7.533",0,12.533,"21 Aug 2022",2022-08-21,706,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","PH",5,5.5,"8.333",0,13.833,"21 Aug 2022",2022-08-21,706,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","18-21 Aug 2022","2022 Senior European Championships","TeamFinal","Munich, Germany","SR",13,5,"8.366",0,13.366,"21 Aug 2022",2022-08-21,706,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","FX",8,5.4,"8.466",0,13.866,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","FX",64,5.4,"8.433",0.3,13.533,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","FX",NA,5.4,"8.5",0,13.9,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","HB",6,5.9,"8.133",0,14.033,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","HB",11,5.9,"8.133",0,14.033,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","HB",NA,5.9,"8.133",0,14.033,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","PB",13,5.5,"8.433",0,13.933,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PB",41,5.5,"8.5",0,14,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","PH",4,5.5,"8.3",0,13.8,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PH",40,5.8,"7.7",0,13.5,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","PH",NA,5.8,"6.933",0,12.733,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","SR",10,4.7,"8.6",0,13.3,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","SR",41,4.7,"8.8",0,13.5,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","TeamFinal","Antwerp, Belgium","SR",NA,4.7,"8.566",0,13.266,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","AAfinal","Antwerp, Belgium","VT",18,4.8,"9.1",0,13.9,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","30 Sep 2023 - 8 Oct 2023","2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","VT",80,4.8,"9.166",0,13.966,"8 Oct 2023",2023-10-08,293,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","FX",11,5.5,"8.033",0,13.533,"12 Mar 2023",2023-03-12,503,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","HB",10,5.3,"8.233",0,13.533,"12 Mar 2023",2023-03-12,503,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","9-12 Mar 2023","2023 Baku World Cup","qual","Baku, Azerbaijan","PH",15,6.4,"7.033",0,13.433,"12 Mar 2023",2023-03-12,503,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",11,5.5,"8.266",0,13.766,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","FX",11,5.5,"8.466",0,13.966,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",4,5.3,"8.166",0,13.466,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","HB",90,5.3,"6.833",0,12.133,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",8,5.3,"8.7",0,14,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PB",40,5.3,"8.2",0,13.5,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",1,5.7,"8.4",0,14.1,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","final","Antalya, Turkey","PH",6,5.7,"8.466",0,14.166,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","PH",6,5.7,"8.566",0,14.266,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","SR",26,4.7,"8.8",0,13.5,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",10,4.7,"8.566",0,13.266,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","AAfinal","Antalya, Turkey","VT",18,4.8,"8.866",0.1,13.566,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abbadini","Yumin","m","ITA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey","VT",64,4.8,"8.933",0,13.733,"16 Apr 2023",2023-04-16,468,"Yumin Abbadini"
"Abdurakhimov","Rasuljon","m","UZB","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",39,4.6,"8.666",0,13.266,"6 Nov 2022",2022-11-06,629,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",28,6,"8.233",0,14.233,"6 Nov 2022",2022-11-06,629,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","15-18 June 2022","2022 9th Senior Artistic Gymnastics Asian Championships","qual","Doha, Qatar","FX",26,4.7,"7.967",0,12.667,"18 June 2022",2022-06-18,770,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","15-18 June 2022","2022 9th Senior Artistic Gymnastics Asian Championships","qual","Doha, Qatar","HB",27,4.3,"8.133",0,12.433,"18 June 2022",2022-06-18,770,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","15-18 June 2022","2022 9th Senior Artistic Gymnastics Asian Championships","qual","Doha, Qatar","PB",24,5.3,"8.1",0,13.4,"18 June 2022",2022-06-18,770,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","15-18 June 2022","2022 9th Senior Artistic Gymnastics Asian Championships","qual","Doha, Qatar","PH",43,4.6,"5.9",0,10.5,"18 June 2022",2022-06-18,770,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","15-18 June 2022","2022 9th Senior Artistic Gymnastics Asian Championships","qual","Doha, Qatar","SR",26,4.1,"8.467",0,12.567,"18 June 2022",2022-06-18,770,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","31 Mar 2022 - 3 Apr 2022","2022 Baku World Cup","qual","Baku, Azerbaijan","HB",13,4.8,"8.466",0,13.266,"3 Apr 2022",2022-04-03,846,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","31 Mar 2022 - 3 Apr 2022","2022 Baku World Cup","qual","Baku, Azerbaijan","PB",26,5.8,"6.533",0,12.333,"3 Apr 2022",2022-04-03,846,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","17-20 Mar 2022","2022 Cairo World Cup","qual","Cairo, Egypt","HB",17,4.2,"7.633",0,11.833,"20 Mar 2022",2022-03-20,860,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","17-20 Mar 2022","2022 Cairo World Cup","qual","Cairo, Egypt","PB",7,5.5,"8.533",0,14.033,"20 Mar 2022",2022-03-20,860,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","17-20 Mar 2022","2022 Cairo World Cup","final","Cairo, Egypt","PB",5,5.8,"8.3",0,14.1,"20 Mar 2022",2022-03-20,860,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","2-5 Mar 2022","2022 Doha World Cup","qual","Doha, Qatar","PB",17,5.1,"6.733",0,11.833,"5 Mar 2022",2022-03-05,875,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","10-18 June 2023","2023 10th Senior Artistic Gymnastics Asian Championships","final","Singapore","HB",5,4.9,"8.3",0,13.2,"18 June 2023",2023-06-18,405,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","10-18 June 2023","2023 10th Senior Artistic Gymnastics Asian Championships","qual","Singapore","HB",7,4.6,"9.066",0,13.666,"18 June 2023",2023-06-18,405,"Rasuljon Abdurakhimov"
"Abdurakhimov","Rasuljon","m","UZB","10-18 June 2023","2023 10th Senior Artistic Gymnastics Asian Championships","qual","Singapore","PB",33,5.2,"7.5",0,12.7,"18 June 2023",2023-06-18,405,"Rasuljon Abdurakhimov"
